"chrom","all_pval","ACP267_pval","NotACP267_pval"
"GBGJ01051156",2.812456e-07,1.297106e-08,1.719689e-07
"GBGJ01051379",1.348311e-11,0.002215309,1.954873e-11
"GBGJ01051496",5.193274e-05,0.009263148,5.193274e-05
"GBGJ01051688",0.01054511,4.307937e-06,0.009544797
"GBGJ01051689",3.639687e-05,0.001831658,3.058267e-05
"GBGJ01051961",0.0006327373,8.72418e-06,0.0005859744
"GBGJ01052014",0.1276944,2.760691e-13,0.1276944
"GBGJ01052034",0.0007462681,2.122986e-16,0.0007114236
"GBGJ01052241",1.068616e-09,0.001028926,9.772262e-10
"GBGJ01052439",5.636411e-07,2.256799e-06,6.185879e-07
"GBGJ01052544",1.232941e-05,1.304766e-07,1.516984e-05
"GBGJ01052705",3.948677e-07,0.001608579,6.737499e-07
"GBGJ01052759",0.000377878,1.860783e-05,0.000298498
"GBGJ01052930",1.664242e-05,0.00464445,1.622706e-05
"GBGJ01053264",6.698778e-05,0.2433946,7.708946e-05
"GBGJ01053706",2.228892e-05,5.764129e-07,1.871747e-05
"GBGJ01053707",0.24389,5.178607e-09,0.2273596
"GBGJ01054155",0.0002409348,1.346614e-06,0.000323188
"GBGJ01054273",1.538395e-07,0.001053668,1.198979e-07
"GBGJ01054274",1.034797e-06,0.01873024,9.437078e-07
"GBGJ01054482",0.04258723,1.03445e-15,0.0306406
"GBGJ01054514",0.005275648,1.076894e-06,0.004554715
"GBGJ01054679",0.02187963,4.374113e-05,0.02161181
"GBGJ01054689",6.113543e-07,0.0009069945,6.246913e-07
"GBGJ01054717",2.33737e-06,0.007424363,2.84213e-06
"GBGJ01055416",4.592152e-07,0.01150994,4.943771e-07
"GBGJ01055417",7.747413e-06,0.007194002,8.27285e-06
"GBGJ01055418",1.1969e-07,0.06677796,1.357271e-07
"GBGJ01055567",0.0002974397,5.17131e-05,0.000301409
"GBGJ01056030",0.005659545,4.643174e-07,0.005067169
"GBGJ01056032",0.07088198,6.48567e-06,0.0633117
"GBGJ01056091",8.280335e-06,3.940971e-07,5.511486e-06
"GBGJ01056092",7.279798e-15,0.001945119,6.247833e-15
"GBGJ01056093",2.403919e-07,0.0006811522,2.344074e-07
"GBGJ01056095",1.902435e-06,0.001573506,1.442456e-06
"GBGJ01056096",1.247715e-06,0.001281056,1.288351e-06
"GBGJ01056346",0.01933967,5.978883e-05,0.01968219
"GBGJ01056475",1.454335e-08,0.001015842,1.149563e-08
"GBGJ01056603",0.000415706,6.31005e-05,0.0004516359
"GBGJ01057040",4.791338e-05,5.69187e-05,5.033233e-05
"GBGJ01057163",0.008621446,7.41351e-05,0.009015377
"GBGJ01057166",0.2433946,6.507638e-05,0.2433946
"GBGJ01057307",9.328415e-06,0.05540737,1.208423e-05
"GBGJ01057556",6.838522e-05,0.003228586,8.022976e-05
"GBGJ01057584",8.730524e-06,3.639993e-05,6.574827e-06
"GBGJ01057634",3.966534e-05,0.0002995866,4.13269e-05
"GBGJ01057637",4.160486e-07,0.01074108,5.024967e-07
"GBGJ01057802",2.801737e-11,4.976262e-06,3.349053e-11
"GBGJ01057805",1.599939e-05,0.002087425,1.425583e-05
"GBGJ01057806",3.240581e-09,1.500251e-05,3.966946e-09
"GBGJ01057955",1.210275e-08,0.0001363089,8.088261e-09
"GBGJ01057990",0.02889075,2.553307e-15,0.02650564
"GBGJ01058042",1.128798e-06,0.0006130139,9.894705e-07
"GBGJ01058144",2.0185e-11,0.1276944,2.162072e-11
"GBGJ01058319",0.02810485,6.522189e-05,0.02651202
"GBGJ01058346",9.107674e-14,0.08752962,2.815957e-13
"GBGJ01058478",3.347131e-06,2.08057e-06,3.841942e-06
"GBGJ01058545",3.812609e-12,0.002916129,5.779023e-12
"GBGJ01058599",0.01048311,3.312906e-05,0.008746503
"GBGJ01059788",0.003017291,7.2568e-50,0.0002071548
"GBGJ01059816",7.549428e-07,0.01463466,8.498243e-07
"GBGJ01059934",5.12977e-06,0.2433946,4.879811e-06
"GBGJ01059937",7.267289e-06,2.370546e-08,5.912749e-06
"GBGJ01060013",3.04931e-05,0.0003314639,2.381324e-05
"GBGJ01060524",9.691209e-07,0.0001273105,1.269419e-06
"GBGJ01061005",1.054418e-05,1.397606e-06,1.165175e-05
"GBGJ01061125",0.001827716,8.80179e-06,0.001471777
"GBGJ01061126",2.649789e-05,7.461201e-06,2.319974e-05
"GBGJ01061393",5.36985e-06,0.0005194005,5.706786e-06
"GBGJ01061516",1.04595e-05,0.01782813,9.967995e-06
"GBGJ01061609",3.389842e-07,1.234705e-05,2.687158e-07
"GBGJ01061611",1.100435e-06,0.0005334271,9.230054e-07
"GBGJ01061614",2.558131e-08,5.775174e-09,1.234446e-08
"GBGJ01061615",2.702554e-07,1.105823e-08,1.333914e-07
"GBGJ01061627",1.363582e-06,2.390012e-05,8.478652e-07
"GBGJ01061633",0.0008849112,1.554678e-06,0.0007072625
"GBGJ01061689",8.403906e-05,0.05842082,7.231763e-05
"GBGJ01061824",0.08727913,1.238421e-08,0.07785251
"GBGJ01061827",2.926978e-05,1.850447e-06,2.05921e-05
"GBGJ01062063",0.003049107,2.85869e-07,0.002930299
"GBGJ01062094",0.0002404629,1.189499e-05,0.0001795232
"GBGJ01062096",4.338425e-07,0.002548756,3.981721e-07
"GBGJ01062178",0.001322105,1.218024e-06,0.001102896
"GBGJ01062379",0.0004374648,2.322856e-09,0.0003235035
"GBGJ01062380",2.781034e-05,2.498205e-05,2.077092e-05
"GBGJ01062386",1.035967e-05,1.573977e-06,8.079941e-06
"GBGJ01062538",7.064087e-05,0.02196071,7.198939e-05
"GBGJ01062855",0.008052827,1.232396e-68,0.006407868
"GBGJ01063193",5.683558e-05,0.001056104,5.221499e-05
"GBGJ01063322",0.1363734,1.520464e-21,0.1109475
"GBGJ01063588",0.01606532,3.623774e-05,0.01504611
"GBGJ01063979",8.28335e-05,0.01868282,7.058776e-05
"GBGJ01063981",5.5125e-07,0.0001201178,5.5125e-07
"GBGJ01064163",2.453016e-05,0.00219711,2.643466e-05
"GBGJ01064291",1.524847e-10,0.03071943,1.760554e-10
"GBGJ01064637",9.016095e-08,0.00158088,8.993288e-08
"GBGJ01064705",0.07015016,3.929624e-62,0.04026774
"GBGJ01064706",0.1276944,2.210932e-69,0.0982734
"GBGJ01064722",6.187551e-09,0.0369096,1.315345e-08
"GBGJ01064725",0.0004791348,6.494725e-07,0.000461376
"GBGJ01064844",0.1326323,1.150458e-14,0.1326323
"GBGJ01064860",0.0007282137,6.499776e-05,0.0007234862
"GBGJ01064862",0.003749087,6.312266e-11,0.003125275
"GBGJ01064868",0.01488947,2.082581e-09,0.01409667
"GBGJ01065209",3.10065e-05,0.06783126,3.504517e-05
"GBGJ01065609",2.036707e-05,0.1638894,1.862433e-05
"GBGJ01065728",0.01546695,1.717822e-07,0.01786914
"GBGJ01066356",0.01105278,8.854671e-05,0.01166681
"GBGJ01066483",0.0003533254,1.312579e-05,0.0003208777
"GBGJ01066574",1.714769e-07,4.898155e-07,1.062765e-07
"GBGJ01066799",0.002771546,1.307289e-11,0.002282268
"GBGJ01066803",0.04169613,1.413967e-06,0.04184811
"GBGJ01066950",3.171139e-05,0.0003903982,2.756606e-05
"GBGJ01066951",0.01716591,3.446869e-08,0.01790769
"GBGJ01067100",5.968011e-06,0.004949394,5.714857e-06
"GBGJ01067332",7.308993e-06,5.041674e-06,1.05712e-05
"GBGJ01067452",0.0516311,7.648293e-06,0.05099022
"GBGJ01067453",0.003754044,1.607867e-05,0.004986359
"GBGJ01067495",0.007342454,8.615692e-05,0.007257307
"GBGJ01067629",0.0007325416,4.251019e-05,0.000623939
"GBGJ01067632",6.274752e-09,0.000780418,5.128525e-09
"GBGJ01067656",8.997351e-05,0.2459615,9.017011e-05
"GBGJ01067903",2.225212e-07,7.481374e-06,1.958715e-07
"GBGJ01067904",2.093798e-06,0.0007713582,2.028349e-06
"GBGJ01067980",0.007664551,9.718958e-06,0.007573856
"GBGJ01068560",0.2433946,6.677756e-05,0.2433946
"GBGJ01068908",1.530709e-09,5.260234e-07,5.689226e-09
"GBGJ01069374",2.40537e-09,0.1276944,4.416065e-09
"GBGJ01069377",0.1276944,2.300276e-84,0.1044921
"GBGJ01069593",3.86774e-05,0.01004096,3.795624e-05
"GBGJ01069808",2.835295e-05,0.0006077911,2.840803e-05
"GBGJ01070192",9.369295e-06,0.0001311451,9.00782e-06
"GBGJ01071036",5.545654e-05,0.001144823,5.885138e-05
"GBGJ01071533",2.153757e-05,1.844505e-06,2.040292e-05
"GBGJ01071534",0.0004093477,2.25008e-05,0.000417474
"GBGJ01071571",1.658534e-06,0.0008069037,1.861477e-06
"GBGJ01071572",0.03618642,2.042905e-72,0.03618642
"GBGJ01072177",4.395505e-06,0.002102473,4.330218e-06
"GBGJ01072849",0.1880078,4.40866e-06,0.1825911
"GBGJ01072868",2.267002e-06,0.001339297,1.165713e-06
"GBGJ01073455",6.218662e-05,6.012515e-06,4.758729e-05
"GBGJ01073490",0.0051669,3.102923e-06,0.005142405
"GBGJ01073668",4.061429e-05,0.06959386,4.210685e-05
"GBGJ01073971",0.0002917923,3.291878e-05,0.0002640217
"GBGJ01074434",0.4351844,3.707407e-08,0.4323618
"GBGJ01074603",4.571654e-11,0.002421937,3.378285e-11
"GBGJ01074736",0.000333796,2.387056e-06,0.0003451111
"GBGJ01074739",9.631406e-07,0.01202198,1.08328e-06
"GBGJ01074952",9.655298e-06,6.612963e-05,9.858316e-06
"GBGJ01075614",2.801827e-07,0.0001147495,2.56667e-07
"GBGJ01075629",0.0495115,1.079954e-30,0.03098343
"GBGJ01075678",2.556681e-05,0.1276944,2.265835e-05
"GBGJ01075711",0.1289071,8.613268e-45,0.06930435
"GBGJ01075718",0.001639785,2.935275e-06,0.001714572
"GBGJ01075736",0.1276944,1.781845e-59,0.1276944
"GBGJ01075805",9.517287e-13,0.1228142,1.172931e-12
"GBGJ01075809",7.465561e-06,1.717144e-05,6.832674e-06
"GBGJ01075814",0.2344996,1.666538e-06,0.2420693
"GBGJ01075827",1.215426e-07,0.1711914,1.069733e-07
"GBGJ01075906",7.899213e-09,0.009133879,6.968682e-09
"GBGJ01075914",5.995763e-06,0.05032726,6.545858e-06
"GBGJ01075999",0.006653729,4.140412e-07,0.006800745
"GBGJ01076013",3.397226e-05,0.07151266,3.321113e-05
"GBGJ01076023",1.591944e-05,0.2433946,1.67089e-05
"GBGJ01076028",5.216844e-07,1.499835e-07,4.376064e-07
"GBGJ01076061",4.479364e-11,0.1172608,4.479364e-11
"GBGJ01076081",8.252033e-05,0.04062953,7.740942e-05
"GBGJ01076094",0.008844811,8.312574e-05,0.008513094
"GBGJ01076101",1.018082e-07,0.07884758,6.048767e-08
"GBGJ01076121",0.001900848,1.304104e-07,0.001519114
"GBGJ01076126",2.306883e-08,0.01750311,1.989167e-08
"GBGJ01076143",1.971559e-07,0.0001342676,3.021068e-07
"GBGJ01076215",0.005320683,2.23257e-07,0.00537694
"GBGJ01076223",1.582865e-07,0.09291705,1.605027e-07
"GBGJ01076230",8.699171e-09,0.1276944,1.444247e-08
"GBGJ01076296",8.274062e-05,9.554201e-05,9.060277e-05
"GBGJ01076346",9.295552e-10,0.03042378,8.485233e-10
"GBGJ01076383",2.372041e-05,0.02140733,3.041784e-05
"GBGJ01076398",9.232443e-11,0.0009215609,1.112092e-10
"GBGJ01076563",5.685948e-07,0.07015016,5.749653e-07
"GBGJ01076647",8.86621e-05,0.4542974,0.0001089604
"GBGJ01076673",1.411425e-05,1.909096e-05,1.024074e-05
"GBGJ01076680",0.02118541,1.189198e-38,0.02118541
"GBGJ01076686",3.45278e-07,0.000710155,2.909682e-07
"GBGJ01076688",0.2216954,2.198023e-70,0.0939051
"GBGJ01076707",2.34317e-12,0.0001562681,1.432726e-12
"GBGJ01076716",3.030521e-05,0.2433946,3.068191e-05
"GBGJ01076740",1.387892e-06,3.632895e-08,8.047213e-07
"GBGJ01076746",3.135532e-05,0.1553126,3.066587e-05
"GBGJ01076765",2.805124e-05,0.02785448,2.910867e-05
"GBGJ01076777",4.091915e-06,0.06739357,4.611524e-06
"GBGJ01076794",8.537739e-08,1.490638e-07,7.06121e-08
"GBGJ01076915",2.865485e-05,4.808573e-05,2.301815e-05
"GBGJ01076919",0.0004274489,2.3638e-09,0.0003153152
"GBGJ01076959",0.0006146049,1.723867e-06,0.0005652493
"GBGJ01076962",7.310883e-05,4.199159e-09,7.275971e-05
"GBGJ01077041",7.31604e-05,0.08735914,7.76442e-05
"GBGJ01077069",1.203134e-06,0.2466159,1.215435e-06
"GBGJ01077094",1.353202e-07,0.0001082163,8.813944e-08
"GBGJ01077152",1.488885e-05,0.01371363,1.691681e-05
"GBGJ01077169",1.805578e-08,1.86442e-11,4.445043e-09
"GBGJ01077177",2.277778e-05,0.1124594,2.916052e-05
"GBGJ01077191",5.441094e-07,2.981687e-06,4.688402e-07
"GBGJ01077201",0.007722709,9.300178e-08,0.006373559
"GBGJ01077224",2.150811e-06,0.1101269,2.427895e-06
"GBGJ01077319",1.755898e-10,0.0006630269,1.572802e-10
"GBGJ01077322",0.1418425,7.009938e-05,0.1337551
"GBGJ01077363",0.1620092,1.087583e-45,0.09058402
"GBGJ01077370",2.120053e-07,0.003928787,3.25208e-07
"GBGJ01077438",0.2433946,5.666967e-07,0.2433946
"GBGJ01077442",6.9122e-06,0.009194395,6.700034e-06
"GBGJ01077452",0.2433946,1.378218e-56,0.2433946
"GBGJ01077464",0.001728373,4.522134e-05,0.001463792
"GBGJ01077545",1.190642e-10,0.2433946,1.165694e-10
"GBGJ01077552",0.004200463,3.982428e-05,0.003488948
"GBGJ01077570",6.003657e-06,0.2054815,8.939747e-06
"GBGJ01077576",0.0007768562,2.341201e-05,0.0006950517
"GBGJ01077604",5.545654e-05,0.000623939,4.130639e-05
"GBGJ01077619",6.581199e-06,0.1306625,7.964448e-06
"GBGJ01077665",3.773941e-08,0.2433946,4.710857e-08
"GBGJ01077668",8.959198e-07,5.592879e-05,8.099407e-07
"GBGJ01077678",0.01193504,3.40235e-07,0.01119765
"GBGJ01077709",0.2433946,4.964731e-68,0.2433946
"GBGJ01077714",0.0001563888,8.279668e-08,0.0001936502
"GBGJ01077745",0.06414662,5.128232e-06,0.06322577
"GBGJ01077750",7.658038e-05,0.007586341,8.206994e-05
"GBGJ01077760",2.576412e-05,0.002345225,2.735164e-05
"GBGJ01077791",4.481561e-09,0.000171232,5.668538e-09
"GBGJ01077824",9.066447e-06,4.26942e-07,6.13219e-06
"GBGJ01077833",0.003303565,9.599288e-08,0.002673462
"GBGJ01077854",0.06858041,2.270653e-08,0.0680825
"GBGJ01077867",1.58278e-05,0.01357716,1.837306e-05
"GBGJ01077920",1.179264e-11,1.814034e-05,9.329296e-12
"GBGJ01077929",6.308005e-05,2.491603e-09,6.203866e-05
"GBGJ01077930",0.01828846,6.417461e-05,0.01756167
"GBGJ01077949",2.832038e-14,3.075315e-08,3.480101e-14
"GBGJ01077978",0.02759115,7.348878e-05,0.02521723
"GBGJ01077997",4.593357e-06,0.06810164,3.952368e-06
"GBGJ01078017",0.1306625,6.560937e-06,0.1306625
"GBGJ01078068",1.32274e-07,0.05728164,1.314413e-07
"GBGJ01078070",2.616943e-07,3.217731e-11,2.388476e-07
"GBGJ01078147",1.515939e-05,0.1152057,1.552294e-05
"GBGJ01078170",3.823429e-09,0.01117666,3.132008e-09
"GBGJ01078182",0.00299738,6.88156e-06,0.00286215
"GBGJ01078247",2.060636e-10,2.108844e-06,9.078365e-11
"GBGJ01078276",0.005903537,7.871924e-10,0.004674094
"GBGJ01078301",0.2127695,5.197622e-07,0.2106904
"GBGJ01078342",6.553544e-11,2.881348e-06,4.481538e-11
"GBGJ01078349",1.88091e-06,0.06548027,2.98646e-06
"GBGJ01078355",0.0007958875,7.537397e-10,0.0008334818
"GBGJ01078409",2.213597e-13,0.005971051,1.900196e-13
"GBGJ01078441",1.932135e-09,0.1054495,2.282936e-09
"GBGJ01078465",4.005883e-09,0.213502,3.826719e-09
"GBGJ01078480",0.0269355,2.11381e-05,0.02651195
"GBGJ01078514",2.722893e-06,0.06783126,2.931339e-06
"GBGJ01078525",0.2433946,2.564445e-14,0.2433946
"GBGJ01078570",2.676039e-09,9.55317e-05,2.140278e-09
"GBGJ01078590",1.11475e-10,0.0003719104,5.509598e-11
"GBGJ01078603",1.534725e-06,3.235932e-09,7.323616e-07
"GBGJ01078630",4.635866e-08,0.02063917,6.046678e-08
"GBGJ01078635",4.280665e-10,2.667313e-05,3.280118e-10
"GBGJ01078664",7.656699e-05,1.191364e-06,6.993717e-05
"GBGJ01078680",0.01421754,3.512764e-08,0.01415878
"GBGJ01078682",1.219926e-08,0.002962737,2.47621e-08
"GBGJ01078698",6.135748e-06,0.02802476,9.360557e-06
"GBGJ01078800",1.025657e-07,0.2433946,1.013822e-07
"GBGJ01078806",0.1152154,1.903583e-07,0.1108873
"GBGJ01078831",7.741971e-09,0.000265474,6.896608e-09
"GBGJ01078834",7.099672e-05,0.0001928215,6.535684e-05
"GBGJ01078845",3.083362e-05,2.6753e-09,2.676877e-05
"GBGJ01078846",5.584788e-05,0.009872645,5.043833e-05
"GBGJ01078870",1.546196e-17,0.07494955,1.295016e-17
"GBGJ01078873",8.264455e-05,0.000942541,9.46872e-05
"GBGJ01078874",0.06783126,1.007285e-67,0.06783126
"GBGJ01078876",0.2433946,1.358018e-46,0.2433946
"GBGJ01078887",1.92718e-06,2.218517e-09,1.231219e-06
"GBGJ01078896",6.13426e-05,0.06783126,5.584788e-05
"GBGJ01078921",1.211604e-05,3.563938e-08,1.7435e-05
"GBGJ01078927",5.373886e-07,2.292778e-05,4.116672e-07
"GBGJ01078933",2.394923e-08,0.05945744,2.325005e-08
"GBGJ01078972",3.725193e-07,0.2433946,7.708475e-07
"GBGJ01078982",2.088995e-07,0.03880437,2.040543e-07
"GBGJ01078985",5.661802e-08,0.04962707,7.108553e-08
"GBGJ01078994",6.985412e-05,0.0001606633,6.642758e-05
"GBGJ01078995",0.06997988,8.103202e-06,0.06445362
"GBGJ01079000",2.291043e-11,0.001153363,1.973563e-11
"GBGJ01079005",6.173597e-06,0.0002895206,6.022223e-06
"GBGJ01079028",6.217264e-08,1.730186e-07,3.390438e-08
"GBGJ01079062",3.516714e-07,0.0003241352,2.646468e-07
"GBGJ01079074",0.01068323,3.642298e-09,0.009981349
"GBGJ01079088",0.1306625,8.255717e-05,0.1306625
"GBGJ01079145",5.390795e-09,2.948234e-07,2.464944e-09
"GBGJ01079150",7.014475e-11,0.004415489,4.683108e-11
"GBGJ01079157",0.001187586,5.049894e-10,0.0007009457
"GBGJ01079166",0.1169544,6.370817e-07,0.1117245
"GBGJ01079171",3.244116e-09,0.02864476,3.052691e-09
"GBGJ01079181",7.66827e-07,0.00157209,5.275676e-07
"GBGJ01079183",4.719777e-05,0.07713288,4.374113e-05
"GBGJ01079185",2.367892e-09,0.06618472,2.473133e-09
"GBGJ01079201",3.282509e-11,0.007607565,2.985595e-11
"GBGJ01079255",6.966512e-12,0.01118008,6.508131e-12
"GBGJ01079272",8.783242e-05,0.3117653,8.889807e-05
"GBGJ01079310",3.642908e-10,0.04263594,3.428768e-10
"GBGJ01079327",0.002969637,3.233467e-09,0.002007267
"GBGJ01079347",2.541738e-05,0.04443494,3.07702e-05
"GBGJ01079374",6.026512e-09,1.897637e-11,7.948842e-09
"GBGJ01079403",4.357137e-05,0.001064241,5.702874e-05
"GBGJ01079420",0.006193518,3.517971e-07,0.005896559
"GBGJ01079425",0.01459808,2.776198e-17,0.008635906
"GBGJ01079440",9.967995e-06,2.04455e-06,8.410573e-06
"GBGJ01079459",7.38674e-06,0.0001181284,1.140088e-05
"GBGJ01079474",1.946595e-09,4.547088e-12,8.575969e-10
"GBGJ01079488",0.0006709061,5.13014e-06,0.0006819648
"GBGJ01079490",0.4772669,1.779216e-54,0.4772669
"GBGJ01079493",0.00157816,3.65182e-05,0.001562669
"GBGJ01079505",1.182124e-05,0.1276944,1.244087e-05
"GBGJ01079525",0.008508093,6.641611e-24,0.008776714
"GBGJ01079544",0.4683675,1.003859e-12,0.4683675
"GBGJ01079549",6.943115e-08,0.02654158,5.997915e-08
"GBGJ01079593",5.613976e-07,0.06783126,5.847874e-07
"GBGJ01079597",7.419739e-11,4.223856e-06,2.817597e-11
"GBGJ01079619",8.517008e-05,0.01891909,0.0001047598
"GBGJ01079637",1.670327e-20,0.01781182,2.025856e-20
"GBGJ01079647",1.685206e-12,3.916332e-05,1.243218e-12
"GBGJ01079657",2.805627e-10,1.06716e-05,1.885825e-10
"GBGJ01079666",2.777391e-05,0.1054426,3.549134e-05
"GBGJ01079690",1.76857e-12,0.003864349,1.805448e-12
"GBGJ01079710",0.07131171,2.687528e-05,0.07131171
"GBGJ01079717",0.002828072,6.429683e-06,0.002495575
"GBGJ01079729",8.521875e-10,0.0004990892,6.82825e-10
"GBGJ01079739",3.415935e-06,1.005249e-05,2.219334e-06
"GBGJ01079745",0.003662179,9.366658e-06,0.00313907
"GBGJ01079750",0.006718094,4.496958e-08,0.006061265
"GBGJ01079754",0.1276944,2.251003e-06,0.1276944
"GBGJ01079807",2.424638e-09,1.347014e-09,1.754137e-09
"GBGJ01079819",5.243755e-09,0.01674057,7.054269e-09
"GBGJ01079838",1.141859e-07,0.03495446,9.583993e-08
"GBGJ01079847",5.357978e-05,2.302535e-06,7.231763e-05
"GBGJ01079905",0.001817542,9.052128e-08,0.001807897
"GBGJ01079907",4.153247e-08,8.535329e-11,1.425377e-08
"GBGJ01079918",5.256353e-08,0.2433946,6.462237e-08
"GBGJ01079969",2.133578e-18,0.2362532,2.583181e-18
"GBGJ01080013",9.517163e-06,0.0006417741,9.852334e-06
"GBGJ01080015",3.285997e-05,0.01696174,3.106228e-05
"GBGJ01080032",0.4772669,3.775e-49,0.4772669
"GBGJ01080034",5.316841e-07,2.279877e-09,2.977867e-07
"GBGJ01080035",0.008316295,2.974323e-06,0.008328626
"GBGJ01080048",0.05991173,1.024074e-05,0.05972717
"GBGJ01080052",6.283284e-05,0.02532391,6.362448e-05
"GBGJ01080071",0.02699768,1.451599e-05,0.02698731
"GBGJ01080121",8.769433e-08,0.04388652,1.022324e-07
"GBGJ01080182",1.08074e-07,8.482057e-10,4.444234e-08
"GBGJ01080230",0.001393698,1.991723e-05,0.001417507
"GBGJ01080238",1.726373e-15,7.024693e-06,1.146745e-15
